DriverName,Team,grid,position,points,status,year,round
Bottas,Mercedes,2,1,26,Finished,2019,1
Hamilton,Mercedes,1,2,18,Finished,2019,1
Verstappen,Red Bull,4,3,15,Finished,2019,1
Vettel,Ferrari,3,4,12,Finished,2019,1
Leclerc,Ferrari,5,5,10,Finished,2019,1
Magnussen,Haas F1 Team,7,6,8,Finished,2019,1
Hülkenberg,Renault,11,7,6,+1 Lap,2019,1
Räikkönen,Alfa Romeo,9,8,4,+1 Lap,2019,1
Stroll,Racing Point,16,9,2,+1 Lap,2019,1
Kvyat,Toro Rosso,15,10,1,+1 Lap,2019,1
Gasly,Red Bull,17,11,0,+1 Lap,2019,1
Norris,McLaren,8,12,0,+1 Lap,2019,1
Pérez,Racing Point,10,13,0,+1 Lap,2019,1
Albon,Toro Rosso,13,14,0,+1 Lap,2019,1
Giovinazzi,Alfa Romeo,14,15,0,+1 Lap,2019,1
Russell,Williams,19,16,0,+2 Laps,2019,1
Kubica,Williams,20,17,0,+3 Laps,2019,1
Grosjean,Haas F1 Team,6,18,0,Wheel,2019,1
Ricciardo,Renault,12,19,0,Damage,2019,1
Sainz,McLaren,18,20,0,Engine,2019,1
Hamilton,Mercedes,3,1,25,Finished,2019,2
Bottas,Mercedes,4,2,18,Finished,2019,2
Leclerc,Ferrari,1,3,16,Finished,2019,2
Verstappen,Red Bull,5,4,12,Finished,2019,2
Vettel,Ferrari,2,5,10,Finished,2019,2
Norris,McLaren,9,6,8,Finished,2019,2
Räikkönen,Alfa Romeo,8,7,6,Finished,2019,2
Gasly,Red Bull,13,8,4,Finished,2019,2
Albon,Toro Rosso,12,9,2,Finished,2019,2
Pérez,Racing Point,14,10,1,Finished,2019,2
Giovinazzi,Alfa Romeo,16,11,0,Finished,2019,2
Kvyat,Toro Rosso,15,12,0,+1 Lap,2019,2
Magnussen,Haas F1 Team,6,13,0,+1 Lap,2019,2
Stroll,Racing Point,18,14,0,+1 Lap,2019,2
Russell,Williams,19,15,0,+1 Lap,2019,2
Kubica,Williams,20,16,0,+2 Laps,2019,2
Hülkenberg,Renault,17,17,0,Engine,2019,2
Ricciardo,Renault,10,18,0,Out of fuel,2019,2
Sainz,McLaren,7,19,0,Collision damage,2019,2
Grosjean,Haas F1 Team,11,20,0,Retired,2019,2
Hamilton,Mercedes,2,1,25,Finished,2019,3
Bottas,Mercedes,1,2,18,Finished,2019,3
Vettel,Ferrari,3,3,15,Finished,2019,3
Verstappen,Red Bull,5,4,12,Finished,2019,3
Leclerc,Ferrari,4,5,10,Finished,2019,3
Gasly,Red Bull,6,6,9,Finished,2019,3
Ricciardo,Renault,7,7,6,+1 Lap,2019,3
Pérez,Racing Point,12,8,4,+1 Lap,2019,3
Räikkönen,Alfa Romeo,13,9,2,+1 Lap,2019,3
Albon,Toro Rosso,0,10,1,+1 Lap,2019,3
Grosjean,Haas F1 Team,10,11,0,+1 Lap,2019,3
Stroll,Racing Point,16,12,0,+1 Lap,2019,3
Magnussen,Haas F1 Team,9,13,0,+1 Lap,2019,3
Sainz,McLaren,14,14,0,+1 Lap,2019,3
Giovinazzi,Alfa Romeo,19,15,0,+1 Lap,2019,3
Russell,Williams,17,16,0,+2 Laps,2019,3
Kubica,Williams,18,17,0,+2 Laps,2019,3
Norris,McLaren,15,18,0,Collision,2019,3
Kvyat,Toro Rosso,11,19,0,Collision,2019,3
Hülkenberg,Renault,8,20,0,Power Unit,2019,3
Bottas,Mercedes,1,1,25,Finished,2019,4
Hamilton,Mercedes,2,2,18,Finished,2019,4
Vettel,Ferrari,3,3,15,Finished,2019,4
Verstappen,Red Bull,4,4,12,Finished,2019,4
Leclerc,Ferrari,8,5,11,Finished,2019,4
Pérez,Racing Point,5,6,8,Finished,2019,4
Sainz,McLaren,9,7,6,Finished,2019,4
Norris,McLaren,7,8,4,Finished,2019,4
Stroll,Racing Point,13,9,2,Finished,2019,4
Räikkönen,Alfa Romeo,0,10,1,+1 Lap,2019,4
Albon,Toro Rosso,11,11,0,+1 Lap,2019,4
Giovinazzi,Alfa Romeo,17,12,0,+1 Lap,2019,4
Magnussen,Haas F1 Team,12,13,0,+1 Lap,2019,4
Hülkenberg,Renault,15,14,0,+1 Lap,2019,4
Russell,Williams,16,15,0,+2 Laps,2019,4
Kubica,Williams,0,16,0,+2 Laps,2019,4
Gasly,Red Bull,0,17,0,Transmission,2019,4
Grosjean,Haas F1 Team,14,18,0,Brakes,2019,4
Kvyat,Toro Rosso,6,19,0,Collision,2019,4
Ricciardo,Renault,10,20,0,Collision,2019,4
Hamilton,Mercedes,2,1,26,Finished,2019,5
Bottas,Mercedes,1,2,18,Finished,2019,5
Verstappen,Red Bull,4,3,15,Finished,2019,5
Vettel,Ferrari,3,4,12,Finished,2019,5
Leclerc,Ferrari,5,5,10,Finished,2019,5
Gasly,Red Bull,6,6,8,Finished,2019,5
Magnussen,Haas F1 Team,8,7,6,Finished,2019,5
Sainz,McLaren,12,8,4,Finished,2019,5
Kvyat,Toro Rosso,9,9,2,Finished,2019,5
Grosjean,Haas F1 Team,7,10,1,Finished,2019,5
Albon,Toro Rosso,11,11,0,Finished,2019,5
Ricciardo,Renault,13,12,0,Finished,2019,5
Hülkenberg,Renault,0,13,0,Finished,2019,5
Räikkönen,Alfa Romeo,14,14,0,Finished,2019,5
Pérez,Racing Point,15,15,0,Finished,2019,5
Giovinazzi,Alfa Romeo,18,16,0,Finished,2019,5
Russell,Williams,19,17,0,+1 Lap,2019,5
Kubica,Williams,17,18,0,+1 Lap,2019,5
Stroll,Racing Point,16,19,0,Collision,2019,5
Norris,McLaren,10,20,0,Collision,2019,5
Hamilton,Mercedes,1,1,25,Finished,2019,6
Vettel,Ferrari,4,2,18,Finished,2019,6
Bottas,Mercedes,2,3,15,Finished,2019,6
Verstappen,Red Bull,3,4,12,Finished,2019,6
Gasly,Red Bull,8,5,11,Finished,2019,6
Sainz,McLaren,9,6,8,Finished,2019,6
Kvyat,Toro Rosso,7,7,6,Finished,2019,6
Albon,Toro Rosso,10,8,4,Finished,2019,6
Ricciardo,Renault,6,9,2,Finished,2019,6
Grosjean,Haas F1 Team,13,10,1,Finished,2019,6
Norris,McLaren,12,11,0,Finished,2019,6
Pérez,Racing Point,16,12,0,+1 Lap,2019,6
Hülkenberg,Renault,11,13,0,+1 Lap,2019,6
Magnussen,Haas F1 Team,5,14,0,+1 Lap,2019,6
Russell,Williams,19,15,0,+1 Lap,2019,6
Stroll,Racing Point,17,16,0,+1 Lap,2019,6
Räikkönen,Alfa Romeo,14,17,0,+1 Lap,2019,6
Kubica,Williams,20,18,0,+1 Lap,2019,6
Giovinazzi,Alfa Romeo,18,19,0,+2 Laps,2019,6
Leclerc,Ferrari,15,20,0,Collision,2019,6
Hamilton,Mercedes,2,1,25,Finished,2019,7
Vettel,Ferrari,1,2,18,Finished,2019,7
Leclerc,Ferrari,3,3,15,Finished,2019,7
Bottas,Mercedes,6,4,13,Finished,2019,7
Verstappen,Red Bull,9,5,10,Finished,2019,7
Ricciardo,Renault,4,6,8,+1 Lap,2019,7
Hülkenberg,Renault,7,7,6,+1 Lap,2019,7
Gasly,Red Bull,5,8,4,+1 Lap,2019,7
Stroll,Racing Point,17,9,2,+1 Lap,2019,7
Kvyat,Toro Rosso,10,10,1,+1 Lap,2019,7
Sainz,McLaren,11,11,0,+1 Lap,2019,7
Pérez,Racing Point,15,12,0,+1 Lap,2019,7
Giovinazzi,Alfa Romeo,12,13,0,+1 Lap,2019,7
Grosjean,Haas F1 Team,14,14,0,+1 Lap,2019,7
Räikkönen,Alfa Romeo,16,15,0,+1 Lap,2019,7
Russell,Williams,18,16,0,+2 Laps,2019,7
Magnussen,Haas F1 Team,0,17,0,+2 Laps,2019,7
Kubica,Williams,19,18,0,+3 Laps,2019,7
Albon,Toro Rosso,13,19,0,Collision damage,2019,7
Norris,McLaren,8,20,0,Suspension,2019,7
Hamilton,Mercedes,1,1,25,Finished,2019,8
Bottas,Mercedes,2,2,18,Finished,2019,8
Leclerc,Ferrari,3,3,15,Finished,2019,8
Verstappen,Red Bull,4,4,12,Finished,2019,8
Vettel,Ferrari,7,5,11,Finished,2019,8
Sainz,McLaren,6,6,8,Finished,2019,8
Räikkönen,Alfa Romeo,12,7,6,+1 Lap,2019,8
Hülkenberg,Renault,13,8,4,+1 Lap,2019,8
Norris,McLaren,5,9,2,+1 Lap,2019,8
Gasly,Red Bull,9,10,1,+1 Lap,2019,8
Ricciardo,Renault,8,11,0,+1 Lap,2019,8
Pérez,Racing Point,14,12,0,+1 Lap,2019,8
Stroll,Racing Point,17,13,0,+1 Lap,2019,8
Kvyat,Toro Rosso,19,14,0,+1 Lap,2019,8
Albon,Toro Rosso,11,15,0,+1 Lap,2019,8
Giovinazzi,Alfa Romeo,10,16,0,+1 Lap,2019,8
Magnussen,Haas F1 Team,15,17,0,+1 Lap,2019,8
Kubica,Williams,18,18,0,+2 Laps,2019,8
Russell,Williams,20,19,0,+2 Laps,2019,8
Grosjean,Haas F1 Team,16,20,0,Retired,2019,8
Verstappen,Red Bull,2,1,26,Finished,2019,9
Leclerc,Ferrari,1,2,18,Finished,2019,9
Bottas,Mercedes,3,3,15,Finished,2019,9
Vettel,Ferrari,9,4,12,Finished,2019,9
Hamilton,Mercedes,4,5,10,Finished,2019,9
Norris,McLaren,5,6,8,+1 Lap,2019,9
Gasly,Red Bull,8,7,6,+1 Lap,2019,9
Sainz,McLaren,19,8,4,+1 Lap,2019,9
Räikkönen,Alfa Romeo,6,9,2,+1 Lap,2019,9
Giovinazzi,Alfa Romeo,7,10,1,+1 Lap,2019,9
Pérez,Racing Point,13,11,0,+1 Lap,2019,9
Ricciardo,Renault,12,12,0,+1 Lap,2019,9
Hülkenberg,Renault,15,13,0,+1 Lap,2019,9
Stroll,Racing Point,14,14,0,+1 Lap,2019,9
Albon,Toro Rosso,18,15,0,+1 Lap,2019,9
Grosjean,Haas F1 Team,11,16,0,+1 Lap,2019,9
Kvyat,Toro Rosso,16,17,0,+1 Lap,2019,9
Russell,Williams,0,18,0,+2 Laps,2019,9
Magnussen,Haas F1 Team,10,19,0,+2 Laps,2019,9
Kubica,Williams,17,20,0,+3 Laps,2019,9
Hamilton,Mercedes,2,1,26,Finished,2019,10
Bottas,Mercedes,1,2,18,Finished,2019,10
Leclerc,Ferrari,3,3,15,Finished,2019,10
Gasly,Red Bull,5,4,12,Finished,2019,10
Verstappen,Red Bull,4,5,10,Finished,2019,10
Sainz,McLaren,13,6,8,Finished,2019,10
Ricciardo,Renault,7,7,6,Finished,2019,10
Räikkönen,Alfa Romeo,12,8,4,Finished,2019,10
Kvyat,Toro Rosso,17,9,2,Finished,2019,10
Hülkenberg,Renault,10,10,1,Finished,2019,10
Norris,McLaren,8,11,0,Finished,2019,10
Albon,Toro Rosso,9,12,0,Finished,2019,10
Stroll,Racing Point,18,13,0,Finished,2019,10
Russell,Williams,19,14,0,+1 Lap,2019,10
Kubica,Williams,20,15,0,+1 Lap,2019,10
Vettel,Ferrari,6,16,0,+1 Lap,2019,10
Pérez,Racing Point,15,17,0,+1 Lap,2019,10
Giovinazzi,Alfa Romeo,11,18,0,Spun off,2019,10
Grosjean,Haas F1 Team,14,19,0,Collision,2019,10
Magnussen,Haas F1 Team,16,20,0,Collision,2019,10
Verstappen,Red Bull,2,1,26,Finished,2019,11
Vettel,Ferrari,20,2,18,Finished,2019,11
Kvyat,Toro Rosso,14,3,15,Finished,2019,11
Stroll,Racing Point,15,4,12,Finished,2019,11
Sainz,McLaren,7,5,10,Finished,2019,11
Albon,Toro Rosso,16,6,8,Finished,2019,11
Grosjean,Haas F1 Team,6,7,6,Finished,2019,11
Magnussen,Haas F1 Team,12,8,4,Finished,2019,11
Hamilton,Mercedes,1,9,2,Finished,2019,11
Kubica,Williams,18,10,1,Finished,2019,11
Russell,Williams,17,11,0,Finished,2019,11
Räikkönen,Alfa Romeo,5,12,0,Finished,2019,11
Giovinazzi,Alfa Romeo,11,13,0,Finished,2019,11
Gasly,Red Bull,4,14,0,Collision,2019,11
Bottas,Mercedes,3,15,0,Accident,2019,11
Hülkenberg,Renault,9,16,0,Accident,2019,11
Leclerc,Ferrari,10,17,0,Accident,2019,11
Norris,McLaren,19,18,0,Power loss,2019,11
Ricciardo,Renault,13,19,0,Exhaust,2019,11
Pérez,Racing Point,8,20,0,Spun off,2019,11
Hamilton,Mercedes,3,1,25,Finished,2019,12
Verstappen,Red Bull,1,2,19,Finished,2019,12
Vettel,Ferrari,5,3,15,Finished,2019,12
Leclerc,Ferrari,4,4,12,Finished,2019,12
Sainz,McLaren,8,5,10,+1 Lap,2019,12
Gasly,Red Bull,6,6,8,+1 Lap,2019,12
Räikkönen,Alfa Romeo,10,7,6,+1 Lap,2019,12
Bottas,Mercedes,2,8,4,+1 Lap,2019,12
Norris,McLaren,7,9,2,+1 Lap,2019,12
Albon,Toro Rosso,12,10,1,+1 Lap,2019,12
Pérez,Racing Point,16,11,0,+1 Lap,2019,12
Hülkenberg,Renault,11,12,0,+1 Lap,2019,12
Magnussen,Haas F1 Team,14,13,0,+1 Lap,2019,12
Ricciardo,Renault,20,14,0,+1 Lap,2019,12
Kvyat,Toro Rosso,13,15,0,+2 Laps,2019,12
Russell,Williams,15,16,0,+2 Laps,2019,12
Stroll,Racing Point,18,17,0,+2 Laps,2019,12
Giovinazzi,Alfa Romeo,17,18,0,+2 Laps,2019,12
Kubica,Williams,19,19,0,+3 Laps,2019,12
Grosjean,Haas F1 Team,9,20,0,Water pressure,2019,12
Leclerc,Ferrari,1,1,25,Finished,2019,13
Hamilton,Mercedes,3,2,18,Finished,2019,13
Bottas,Mercedes,4,3,15,Finished,2019,13
Vettel,Ferrari,2,4,13,Finished,2019,13
Albon,Red Bull,17,5,10,Finished,2019,13
Pérez,Racing Point,7,6,8,Finished,2019,13
Kvyat,Toro Rosso,19,7,6,Finished,2019,13
Hülkenberg,Renault,12,8,4,Finished,2019,13
Gasly,Toro Rosso,13,9,2,Finished,2019,13
Stroll,Racing Point,16,10,1,Finished,2019,13
Norris,McLaren,11,11,0,Engine,2019,13
Magnussen,Haas F1 Team,8,12,0,+1 Lap,2019,13
Grosjean,Haas F1 Team,9,13,0,+1 Lap,2019,13
Ricciardo,Renault,10,14,0,+1 Lap,2019,13
Russell,Williams,14,15,0,+1 Lap,2019,13
Räikkönen,Alfa Romeo,6,16,0,+1 Lap,2019,13
Kubica,Williams,0,17,0,+1 Lap,2019,13
Giovinazzi,Alfa Romeo,18,18,0,Accident,2019,13
Sainz,McLaren,15,19,0,Power loss,2019,13
Verstappen,Red Bull,5,20,0,Accident,2019,13
Leclerc,Ferrari,1,1,25,Finished,2019,14
Bottas,Mercedes,3,2,18,Finished,2019,14
Hamilton,Mercedes,2,3,16,Finished,2019,14
Ricciardo,Renault,5,4,12,Finished,2019,14
Hülkenberg,Renault,6,5,10,Finished,2019,14
Albon,Red Bull,8,6,8,Finished,2019,14
Pérez,Racing Point,18,7,6,Finished,2019,14
Verstappen,Red Bull,19,8,4,Finished,2019,14
Giovinazzi,Alfa Romeo,10,9,2,+1 Lap,2019,14
Norris,McLaren,16,10,1,+1 Lap,2019,14
Gasly,Toro Rosso,17,11,0,+1 Lap,2019,14
Stroll,Racing Point,9,12,0,+1 Lap,2019,14
Vettel,Ferrari,4,13,0,+1 Lap,2019,14
Russell,Williams,14,14,0,+1 Lap,2019,14
Räikkönen,Alfa Romeo,0,15,0,+1 Lap,2019,14
Grosjean,Haas F1 Team,13,16,0,+1 Lap,2019,14
Kubica,Williams,15,17,0,+2 Laps,2019,14
Magnussen,Haas F1 Team,11,18,0,Hydraulics,2019,14
Kvyat,Toro Rosso,12,19,0,Engine,2019,14
Sainz,McLaren,7,20,0,Wheel,2019,14
Vettel,Ferrari,3,1,25,Finished,2019,15
Leclerc,Ferrari,1,2,18,Finished,2019,15
Verstappen,Red Bull,4,3,15,Finished,2019,15
Hamilton,Mercedes,2,4,12,Finished,2019,15
Bottas,Mercedes,5,5,10,Finished,2019,15
Albon,Red Bull,6,6,8,Finished,2019,15
Norris,McLaren,9,7,6,Finished,2019,15
Gasly,Toro Rosso,11,8,4,Finished,2019,15
Hülkenberg,Renault,8,9,2,Finished,2019,15
Giovinazzi,Alfa Romeo,10,10,1,Finished,2019,15
Grosjean,Haas F1 Team,17,11,0,Finished,2019,15
Sainz,McLaren,7,12,0,Finished,2019,15
Stroll,Racing Point,16,13,0,Finished,2019,15
Ricciardo,Renault,20,14,0,Finished,2019,15
Kvyat,Toro Rosso,14,15,0,Finished,2019,15
Kubica,Williams,19,16,0,Finished,2019,15
Magnussen,Haas F1 Team,13,17,0,Finished,2019,15
Räikkönen,Alfa Romeo,12,18,0,Collision,2019,15
Pérez,Racing Point,15,19,0,Engine,2019,15
Russell,Williams,18,20,0,Collision,2019,15
Hamilton,Mercedes,2,1,26,Finished,2019,16
Bottas,Mercedes,4,2,18,Finished,2019,16
Leclerc,Ferrari,1,3,15,Finished,2019,16
Verstappen,Red Bull,9,4,12,Finished,2019,16
Albon,Red Bull,0,5,10,Finished,2019,16
Sainz,McLaren,5,6,8,Finished,2019,16
Pérez,Racing Point,11,7,6,Finished,2019,16
Norris,McLaren,7,8,4,Finished,2019,16
Magnussen,Haas F1 Team,13,9,2,Finished,2019,16
Hülkenberg,Renault,6,10,1,Finished,2019,16
Stroll,Racing Point,14,11,0,Finished,2019,16
Kvyat,Toro Rosso,19,12,0,Finished,2019,16
Räikkönen,Alfa Romeo,15,13,0,Finished,2019,16
Gasly,Toro Rosso,16,14,0,Finished,2019,16
Giovinazzi,Alfa Romeo,12,15,0,Finished,2019,16
Kubica,Williams,18,16,0,Brakes,2019,16
Russell,Williams,17,17,0,Brakes,2019,16
Vettel,Ferrari,3,18,0,Power loss,2019,16
Ricciardo,Renault,10,19,0,Collision,2019,16
Grosjean,Haas F1 Team,8,20,0,Collision,2019,16
Bottas,Mercedes,3,1,25,Finished,2019,17
Vettel,Ferrari,1,2,18,Finished,2019,17
Hamilton,Mercedes,4,3,16,Finished,2019,17
Albon,Red Bull,6,4,12,Finished,2019,17
Sainz,McLaren,7,5,10,Finished,2019,17
Leclerc,Ferrari,2,6,8,+1 Lap,2019,17
Gasly,Toro Rosso,9,7,6,+1 Lap,2019,17
Pérez,Racing Point,17,8,4,+1 Lap,2019,17
Stroll,Racing Point,12,9,2,+1 Lap,2019,17
Kvyat,Toro Rosso,14,10,1,+1 Lap,2019,17
Norris,McLaren,8,11,0,+1 Lap,2019,17
Räikkönen,Alfa Romeo,13,12,0,+1 Lap,2019,17
Grosjean,Haas F1 Team,10,13,0,+1 Lap,2019,17
Giovinazzi,Alfa Romeo,11,14,0,+1 Lap,2019,17
Magnussen,Haas F1 Team,19,15,0,+1 Lap,2019,17
Russell,Williams,18,16,0,+2 Laps,2019,17
Kubica,Williams,0,17,0,+2 Laps,2019,17
Verstappen,Red Bull,5,18,0,Brakes,2019,17
Ricciardo,Renault,16,19,0,Disqualified,2019,17
Hülkenberg,Renault,15,20,0,Disqualified,2019,17
Hamilton,Mercedes,3,1,25,Finished,2019,18
Vettel,Ferrari,2,2,18,Finished,2019,18
Bottas,Mercedes,6,3,15,Finished,2019,18
Leclerc,Ferrari,1,4,13,Finished,2019,18
Albon,Red Bull,5,5,10,Finished,2019,18
Verstappen,Red Bull,4,6,8,Finished,2019,18
Pérez,Racing Point,11,7,6,Finished,2019,18
Ricciardo,Renault,13,8,4,Finished,2019,18
Gasly,Toro Rosso,10,9,2,+1 Lap,2019,18
Hülkenberg,Renault,12,10,1,+1 Lap,2019,18
Kvyat,Toro Rosso,9,11,0,+1 Lap,2019,18
Stroll,Racing Point,16,12,0,+1 Lap,2019,18
Sainz,McLaren,7,13,0,+1 Lap,2019,18
Giovinazzi,Alfa Romeo,15,14,0,+1 Lap,2019,18
Magnussen,Haas F1 Team,17,15,0,+2 Laps,2019,18
Russell,Williams,19,16,0,+2 Laps,2019,18
Grosjean,Haas F1 Team,18,17,0,+2 Laps,2019,18
Kubica,Williams,20,18,0,+2 Laps,2019,18
Räikkönen,Alfa Romeo,14,19,0,Overheating,2019,18
Norris,McLaren,8,20,0,Withdrew,2019,18
Bottas,Mercedes,1,1,25,Finished,2019,19
Hamilton,Mercedes,5,2,18,Finished,2019,19
Verstappen,Red Bull,3,3,15,Finished,2019,19
Leclerc,Ferrari,4,4,13,Finished,2019,19
Albon,Red Bull,6,5,10,Finished,2019,19
Ricciardo,Renault,9,6,8,Finished,2019,19
Norris,McLaren,8,7,6,Finished,2019,19
Sainz,McLaren,7,8,4,+1 Lap,2019,19
Hülkenberg,Renault,11,9,2,+1 Lap,2019,19
Pérez,Racing Point,0,10,1,+1 Lap,2019,19
Räikkönen,Alfa Romeo,17,11,0,+1 Lap,2019,19
Kvyat,Toro Rosso,13,12,0,+1 Lap,2019,19
Stroll,Racing Point,14,13,0,+1 Lap,2019,19
Giovinazzi,Alfa Romeo,16,14,0,+1 Lap,2019,19
Grosjean,Haas F1 Team,15,15,0,+1 Lap,2019,19
Gasly,Toro Rosso,10,16,0,Suspension,2019,19
Russell,Williams,18,17,0,+2 Laps,2019,19
Magnussen,Haas F1 Team,12,18,0,Brakes,2019,19
Kubica,Williams,19,19,0,Oil leak,2019,19
Vettel,Ferrari,2,20,0,Suspension,2019,19
Verstappen,Red Bull,1,1,25,Finished,2019,20
Gasly,Toro Rosso,6,2,18,Finished,2019,20
Sainz,McLaren,20,3,15,Finished,2019,20
Räikkönen,Alfa Romeo,8,4,12,Finished,2019,20
Giovinazzi,Alfa Romeo,12,5,10,Finished,2019,20
Ricciardo,Renault,11,6,8,Finished,2019,20
Hamilton,Mercedes,3,7,6,Finished,2019,20
Norris,McLaren,10,8,4,Finished,2019,20
Pérez,Racing Point,15,9,2,Finished,2019,20
Kvyat,Toro Rosso,16,10,1,Finished,2019,20
Magnussen,Haas F1 Team,9,11,0,Finished,2019,20
Russell,Williams,18,12,0,Finished,2019,20
Grosjean,Haas F1 Team,7,13,0,Finished,2019,20
Albon,Red Bull,5,14,0,Finished,2019,20
Hülkenberg,Renault,13,15,0,Finished,2019,20
Kubica,Williams,19,16,0,+1 Lap,2019,20
Vettel,Ferrari,2,17,0,Collision,2019,20
Leclerc,Ferrari,14,18,0,Collision,2019,20
Stroll,Racing Point,17,19,0,Suspension,2019,20
Bottas,Mercedes,4,20,0,Power Unit,2019,20
Hamilton,Mercedes,1,1,26,Finished,2019,21
Verstappen,Red Bull,2,2,18,Finished,2019,21
Leclerc,Ferrari,3,3,15,Finished,2019,21
Bottas,Mercedes,20,4,12,Finished,2019,21
Vettel,Ferrari,4,5,10,Finished,2019,21
Albon,Red Bull,5,6,8,Finished,2019,21
Pérez,Racing Point,10,7,6,+1 Lap,2019,21
Norris,McLaren,6,8,4,+1 Lap,2019,21
Kvyat,Toro Rosso,13,9,2,+1 Lap,2019,21
Sainz,McLaren,8,10,1,+1 Lap,2019,21
Ricciardo,Renault,7,11,0,+1 Lap,2019,21
Hülkenberg,Renault,9,12,0,+1 Lap,2019,21
Räikkönen,Alfa Romeo,17,13,0,+1 Lap,2019,21
Magnussen,Haas F1 Team,14,14,0,+1 Lap,2019,21
Grosjean,Haas F1 Team,15,15,0,+1 Lap,2019,21
Giovinazzi,Alfa Romeo,16,16,0,+1 Lap,2019,21
